,Dog Breed
828,chihuahua kurzhaariger schlag
829,chihuahua kurzhaariger schlag
830,chihuahua langhaariger schlag
831,cocker spaniel
832,collie
833,collie
834,dackel
835,dackel
836,dalmatiner
837,deutsch kurzhaar
838,deutsche dogge
839,deutscher schäferhund
840,deutscher schäferhund
841,dobermann
842,drahthaar-foxterrier
843,englischer cockerspaniel
844,english setter
845,flat coated retriever
846,französische bulldogge
847,golden retriever
848,golden retriever
849,grosser münsterländer
850,havaneser
851,havaneser
852,hovawart
853,irish setter
854,jack-russell-terrier
855,jack-russell-terrier
856,kleiner münsterländer
857,labrador retriever
858,labrador retriever
859,magyar vizsla
860,malteser
861,malteser
862,mops
863,parson-russell-terrier
864,pekinese
865,pudel
866,pudel
867,rauhhaardackel (zwergdackel)
868,rhodesian ridgeback
869,rottweiler
870,rottweiler
871,schnauzer
872,shih tzu
873,siberian husky
874,siberian husky
875,staffordshire-bullterrier
876,toy-pudel
877,weimaraner
878,weißer schweizer schäferhund
879,west highland white terrier
880,whippet
881,yorkshire terrier
882,yorkshire terrier
883,zwergpinscher
884,zwergpinscher
885,zwergpudel
886,zwergspitz
887,zwergspitz
888,amerikanischer pit-bullterrier
889,amerikanischer pit-bullterrier
890,amerikanischer staffordshire-terrier
891,amerikanischer staffordshire-terrier
892,australian shepherd dog
893,beagle
894,berner sennenhund
895,border-collie
896,border-collie
897,boxer
898,bracke
899,bullterrier
900,chihuahua kurzhaariger schlag
901,chihuahua kurzhaariger schlag
902,chihuahua langhaariger schlag
903,cocker spaniel
904,collie
905,dackel
906,dackel
907,deutscher schäferhund
908,deutscher schäferhund
909,drahthaar-foxterrier
910,englischer cockerspaniel
911,französische bulldogge
912,golden retriever
913,havaneser
914,havaneser
915,jack-russell-terrier
916,jack-russell-terrier
917,labrador retriever
918,labrador retriever
919,magyar vizsla
920,malteser
921,malteser
922,mops
923,parson-russell-terrier
924,pekinese
925,pekinese
926,pudel
927,pudel
928,rauhhaardackel (zwergdackel)
929,rottweiler
930,shih tzu
931,siberian husky
932,siberian husky
933,staffordshire-bullterrier
934,west highland white terrier
935,yorkshire terrier
936,yorkshire terrier
937,zwergpinscher
938,zwergpinscher
939,zwergspitz
940,alaskan malamute
941,amerikanischer cockerspaniel
942,amerikanischer pit-bullterrier
943,amerikanischer pit-bullterrier
944,amerikanischer staffordshire-terrier
945,amerikanischer staffordshire-terrier
946,australian cattle dog
947,australian shepherd dog
948,beagle
949,beagle
950,bearded collie
951,belgischer schäferhund
952,belgischer schäferhund
953,berner sennenhund
954,berner sennenhund
955,bichon frisé
956,border-collie
957,border-collie
958,boxer
959,boxer
960,bracke
961,bulldog
962,bullmastiff
963,bullterrier
964,cairn-terrier
965,cane corso
966,cavalier king charles spaniel
967,chihuahua kurzhaariger schlag
968,chihuahua kurzhaariger schlag
969,chihuahua langhaariger schlag
970,chinesischer schopfhund hairless-schlag
971,cocker spaniel
972,cocker spaniel
973,collie
974,collie
975,dackel
976,dackel
977,dalmatiner
978,dalmatiner
979,deutsch kurzhaar
980,deutsche dogge
981,deutscher pinscher
982,deutscher schäferhund
983,deutscher schäferhund
984,dobermann
985,dogo argentino
986,drahthaar-foxterrier
987,englischer cockerspaniel
988,englischer cockerspaniel
989,entlebucher sennenhund
990,eurasier
991,flat coated retriever
992,französische bulldogge
993,golden retriever
994,golden retriever
995,gordon setter
996,havaneser
997,havaneser
998,hovawart
999,irish setter
1000,jack-russell-terrier
1001,jack-russell-terrier
1002,kleiner münsterländer
1003,kleiner münsterländer
1004,labrador retriever
1005,labrador retriever
1006,landseer
1007,langhaardackel
1008,magyar vizsla
1009,malinois
1010,malteser
1011,malteser
1012,mops
1013,mops
1014,neufundländer
1015,neufundländer
1016,papillon
1017,parson-russell-terrier
1018,pekinese
1019,pekinese
1020,pudel
1021,pudel
1022,rauhhaardackel (zwergdackel)
1023,rhodesian ridgeback
1024,riesenschnauzer
1025,rottweiler
1026,rottweiler
1027,schnauzer
1028,schnauzer
1029,scottish terrier
1030,shar pei
1031,sheltie
1032,shiba inu
1033,shih tzu
1034,shih tzu
1035,siberian husky
1036,siberian husky
1037,spitz
1038,staffordshire-bullterrier
1039,staffordshire-bullterrier
1040,tervueren
1041,tibet-spaniel
1042,tibet-terrier
1043,weimaraner
1044,weißer schweizer schäferhund
1045,west highland white terrier
1046,whippet
1047,yorkshire terrier
1048,yorkshire terrier
1049,zwergpinscher
1050,zwergpinscher
1051,zwergpudel
1052,zwergschnauzer
1053,zwergspitz
1054,zwergspitz
1055,airedale-terrier
1056,akita inu
1057,alaskan malamute
1058,amerikanischer cockerspaniel
1059,amerikanischer pit-bullterrier
1060,amerikanischer pit-bullterrier
1061,amerikanischer staffordshire-terrier
1062,amerikanischer staffordshire-terrier
1063,australian shepherd dog
1064,beagle
1065,beagle
1066,belgischer schäferhund
1067,belgischer schäferhund
1068,berner sennenhund
1069,berner sennenhund
1070,bernhardiner
1071,bichon frisé
1072,bobtail
1073,bolonka zwetna
1074,bordeauxdogge
1075,border-collie
1076,border-collie
1077,border-terrier
1078,boxer
1079,boxer
1080,bracke
1081,bulldog
1082,bullmastiff
1083,bullterrier
1084,bullterrier
1085,cairn-terrier
1086,cane corso
1087,cavalier king charles spaniel
1088,chihuahua kurzhaariger schlag
1089,chihuahua kurzhaariger schlag
1090,chihuahua langhaariger schlag
1091,chinesischer schopfhund hairless-schlag
1092,chow-chow
1093,cocker spaniel
1094,cocker spaniel
1095,collie
1096,collie
1097,dackel
1098,dackel
1099,dalmatiner
1100,dalmatiner
1101,deutsch drahthaar
1102,deutsch kurzhaar
1103,deutsche dogge
1104,deutscher pinscher
1105,deutscher schäferhund
1106,deutscher schäferhund
1107,dobermann
1108,dogo argentino
1109,dogo argentino
1110,drahthaar-foxterrier
1111,elo
1112,englischer cockerspaniel
1113,englischer cockerspaniel
1114,english springer spaniel
1115,entlebucher sennenhund
1116,flat coated retriever
1117,französische bulldogge
1118,glatthaar-foxterrier
1119,golden retriever
1120,golden retriever
1121,gordon setter
1122,grosser münsterländer
1123,havaneser
1124,havaneser
1125,hollandse herdershond
1126,hovawart
1127,irish setter
1128,jack-russell-terrier
1129,jack-russell-terrier
1130,kleiner münsterländer
1131,kleiner münsterländer
1132,labrador retriever
1133,labrador retriever
1134,landseer
1135,langhaardackel
1136,lhasa apso
1137,magyar vizsla
1138,malinois
1139,malteser
1140,malteser
1141,mops
1142,mops
1143,neufundländer
1144,olde english bulldogge
1145,papillon
1146,parson-russell-terrier
1147,pekinese
1148,pekinese
1149,prager rattler
1150,pudel
1151,pudel
1152,rauhhaardackel (zwergdackel)
1153,rhodesian ridgeback
1154,riesenschnauzer
1155,rottweiler
1156,rottweiler
1157,schnauzer
1158,schnauzer
1159,shar pei
1160,sheltie
1161,shiba inu
1162,shih tzu
1163,shih tzu
1164,siberian husky
1165,siberian husky
1166,spanischer windhund
1167,spitz
1168,spitz
1169,staffordshire-bullterrier
1170,staffordshire-bullterrier
1171,tibet-spaniel
1172,tibet-terrier
1173,toy-pudel
1174,weimaraner
1175,weißer schweizer schäferhund
1176,welsh terrier
1177,west highland white terrier
1178,whippet
1179,yorkshire terrier
